Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,5,181,55,629,94,224.40,0.00%,7.9,46.39,5976.0
Hit_the_portal_with-cache,5,181,55,629,94,224.40,0.00%,7.9,46.39,5976.0
676 /escm/login/doAuth?id=loginform,5,1351,1142,1665,1474,194.47,0.00%,3.0,27.41,9347.0
680 /escm/dashboard/myAccountInfo,5,1336,919,2302,1346,506.00,0.00%,.1,0.66,8444.8
SP_user_login_46_with_cache,5,2688,2103,3967,2820,684.49,0.00%,1.3,21.90,17791.8
681 /escm/customer/index,5,1362,943,2367,1283,513.79,0.00%,.1,1.26,16046.4
682 /escm/customer/list,5,1232,825,2218,1130,504.21,0.00%,.1,1.24,15780.4
684 /escm/customer/setSearchBy,5,22,16,27,25,3.72,0.00%,185.2,82.65,457.0
686 /escm/messages,5,16,14,19,17,1.62,0.00%,263.2,118.47,461.0
685 /escm/customer/listByCriteria,5,554,297,787,719,187.71,0.00%,6.4,27.38,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,5,1127,677,1748,1699,488.26,0.00%,2.9,112.14,40146.6
688 /escm/messages,5,19,15,23,23,3.25,0.00%,217.4,97.87,461.0
689 /escm/messages,5,15,14,16,16,0.89,0.00%,312.5,140.69,461.0
List_organizations_with_cache,5,4350,2805,4955,4783,787.63,0.00%,.1,5.92,78226.4
226 /escm/customer/listByCriteria,5,2360,2188,2514,2442,117.60,0.00%,2.0,7.29,3755.0
227 /escm/customer/renderCustomerOrganizationDetails,5,625,458,744,694,99.75,0.00%,6.7,262.63,40016.8
228 /escm/messages,5,13,13,15,14,0.75,0.00%,333.3,150.07,461.0
229 /escm/messages,5,15,12,19,17,2.58,0.00%,263.2,118.47,461.0
46_Org_search_by_orgname_withcache,5,3014,2754,3193,3166,195.38,0.00%,1.6,68.35,44693.8
TOTAL,95,1077,12,4955,2799,1259.14,0.00%,1.5,22.22,15440.8
