sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,30,101,53,199,199,587,37,587,0.00%,51.1,298.3,115.61
Hit_the_portal_with-cache,30,101,53,199,199,587,37,587,0.00%,51.1,298.3,115.61
676 /escm/login/doAuth?id=loginform,30,2340,2353,3834,3867,4238,1045,4238,0.00%,7.1,66.3,880.67
680 /escm/dashboard/myAccountInfo,30,1906,2089,2532,2553,3387,795,3387,0.00%,8.9,72.7,671.74
SP_user_login_46_with_cache,30,4246,4635,6065,6399,6886,1851,6886,0.00%,4.4,76.6,1425.07
681 /escm/customer/index,30,1966,1921,2700,2876,3902,868,3902,0.00%,7.7,120.5,758.67
682 /escm/customer/list,30,1854,1646,2698,2736,3814,964,3814,0.00%,7.9,121.2,732.14
684 /escm/customer/setSearchBy,30,18,15,23,36,58,10,58,0.00%,517.2,230.8,10.82
686 /escm/messages,30,14,10,22,26,44,8,44,0.00%,681.8,307.0,8.37
685 /escm/customer/listByCriteria,30,333,269,500,512,1108,176,1108,0.00%,27.1,116.7,176.47
687 /escm/customer/renderCustomerOrganizationDetails,30,549,529,753,859,960,344,960,0.00%,31.2,1225.2,149.45
688 /escm/messages,30,12,10,19,21,38,7,38,0.00%,789.5,355.4,6.19
689 /escm/messages,30,10,9,15,16,21,7,21,0.00%,1428.6,643.1,3.09
List_organizations_with_cache,30,4759,4648,6494,6692,7344,2869,7344,0.00%,4.1,312.1,1256.51
226 /escm/customer/listByCriteria,30,2432,2361,2630,2801,3442,2069,3442,0.00%,8.7,32.0,307.51
227 /escm/customer/renderCustomerOrganizationDetails,30,478,467,621,626,784,324,784,0.00%,.5,19.4,98.67
228 /escm/messages,30,12,10,17,27,37,7,37,0.00%,.5,.2,6.67
229 /escm/messages,30,11,10,14,15,30,6,30,0.00%,.5,.2,4.70
46_Org_search_by_orgname_withcache,30,2934,2877,3301,3460,3912,2413,3912,0.00%,7.7,334.7,331.64
TOTAL,570,1267,443,3364,4655,6399,6,7344,0.00%,9.4,142.3,1589.51
