timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Hostname
02/11/2017 01:20,98,createSPUser,200,OK,Thread Group 1-1,text,true,,353,1,1,98,ESCM-APP
02/11/2017 01:33,70,createSPUser,200,OK,Thread Group 1-1,text,true,,353,1,1,70,ESCM-APP
