Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createSPUser,1,234,234,234,234,234,234,234,0.000%,4.27350,1.08,0.00
TOTAL,1,234,234,234,234,234,234,234,0.000%,4.27350,1.08,0.00
