Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createSPUser,1,373,373,373,373,373,373,373,0.000%,2.68097,0.68,0.00
TOTAL,1,373,373,373,373,373,373,373,0.000%,2.68097,0.68,0.00
