timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency
21/07/2017 15:10,16,22 /escm/messages,200,OK,Thread Group 1-21,text,true,,461,572,11,11,http://10.10.3.16:8080/escm/messages,14
21/07/2017 15:10,21,23 /escm/recentItem,200,OK,Thread Group 1-21,text,true,,341,574,11,11,http://10.10.3.16:8080/escm/recentItem,19
21/07/2017 15:10,4412,12 /escm/order/showOrderDetail,200,OK,Thread Group 1-20,text,true,,22203,620,11,11,http://10.10.3.16:8080/escm/order/showOrderDetail,4392
21/07/2017 15:10,32,22 /escm/messages,200,OK,Thread Group 1-20,text,true,,461,572,11,11,http://10.10.3.16:8080/escm/messages,32
21/07/2017 15:10,15860,List_Orders,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-21,,true,,169992,17002,11,11,null,4349
21/07/2017 15:10,97,23 /escm/recentItem,200,OK,Thread Group 1-20,text,true,,341,574,10,10,http://10.10.3.16:8080/escm/recentItem,96
21/07/2017 15:10,15617,List_Orders,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-20,,true,,169990,17002,10,10,null,4769
21/07/2017 15:10,4151,12 /escm/order/showOrderDetail,200,OK,Thread Group 1-23,text,true,,22204,620,9,9,http://10.10.3.16:8080/escm/order/showOrderDetail,4148
21/07/2017 15:10,3210,12 /escm/order/showOrderDetail,200,OK,Thread Group 1-25,text,true,,22205,620,9,9,http://10.10.3.16:8080/escm/order/showOrderDetail,3204
21/07/2017 15:10,14,22 /escm/messages,200,OK,Thread Group 1-25,text,true,,461,572,9,9,http://10.10.3.16:8080/escm/messages,13
21/07/2017 15:10,10,23 /escm/recentItem,200,OK,Thread Group 1-25,text,true,,341,574,9,9,http://10.10.3.16:8080/escm/recentItem,9
21/07/2017 15:10,25,22 /escm/messages,200,OK,Thread Group 1-23,text,true,,461,572,9,9,http://10.10.3.16:8080/escm/messages,24
21/07/2017 15:10,10,23 /escm/recentItem,200,OK,Thread Group 1-23,text,true,,341,574,9,9,http://10.10.3.16:8080/escm/recentItem,10
21/07/2017 15:10,4131,12 /escm/order/showOrderDetail,200,OK,Thread Group 1-22,text,true,,22204,620,9,9,http://10.10.3.16:8080/escm/order/showOrderDetail,4129
21/07/2017 15:10,13541,List_Orders,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-25,,true,,169992,17002,9,9,null,3584
21/07/2017 15:10,16188,List_Orders,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-23,,true,,169991,17002,8,8,null,4521
21/07/2017 15:10,9,22 /escm/messages,200,OK,Thread Group 1-22,text,true,,461,572,7,7,http://10.10.3.16:8080/escm/messages,8
21/07/2017 15:10,10,23 /escm/recentItem,200,OK,Thread Group 1-22,text,true,,341,574,7,7,http://10.10.3.16:8080/escm/recentItem,10
21/07/2017 15:10,16430,List_Orders,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-22,,true,,169991,17002,7,7,null,4424
21/07/2017 15:10,3164,12 /escm/order/showOrderDetail,200,OK,Thread Group 1-26,text,true,,22205,620,6,6,http://10.10.3.16:8080/escm/order/showOrderDetail,3159
21/07/2017 15:10,8,22 /escm/messages,200,OK,Thread Group 1-26,text,true,,461,572,6,6,http://10.10.3.16:8080/escm/messages,8
21/07/2017 15:10,10,23 /escm/recentItem,200,OK,Thread Group 1-26,text,true,,341,574,6,6,http://10.10.3.16:8080/escm/recentItem,9
21/07/2017 15:10,13200,List_Orders,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-26,,true,,169992,17002,6,6,null,3364
21/07/2017 15:10,2372,12 /escm/order/showOrderDetail,200,OK,Thread Group 1-29,text,true,,22204,620,5,5,http://10.10.3.16:8080/escm/order/showOrderDetail,2363
21/07/2017 15:10,18,22 /escm/messages,200,OK,Thread Group 1-29,text,true,,461,572,5,5,http://10.10.3.16:8080/escm/messages,17
