sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
62 /escm/login/auth,20,339,58,801,2223,2715,39,2715,0.00%,7.4,37.6,732.49
Login Page Request,20,630,337,1139,2533,3073,293,3073,100.00%,6.5,3182.3,750.76
5 /escm/login/doAuth?id=loginform,20,14033,14641,15124,15260,16956,12143,16956,0.00%,.3,2.3,1365.97
Login Page Credentials and Dashboard Display,20,14928,15435,16293,16577,17517,12740,17517,0.00%,1.1,364.4,1520.81
77 /escm/order/index,20,8740,8863,10593,10651,11001,6242,11001,0.00%,1.8,33.9,1359.45
88 /escm/order/showOrderDetail,20,9234,9315,12514,13552,13707,6009,13707,0.00%,1.5,31.6,2117.73
98 /escm/messages,20,20,17,38,38,50,8,50,0.00%,400.0,180.1,11.72
99 /escm/recentItem,20,25,14,57,67,69,7,69,0.00%,289.9,96.5,20.71
Order Selection,20,18443,17971,22434,23480,23631,12455,23631,0.00%,.8,140.5,2998.49
109 /escm/order/searchOrder,20,1152,1000,2074,2116,2120,414,2120,0.00%,9.4,34.4,584.55
111 /escm/messages,20,41,13,65,75,432,7,432,0.00%,46.3,20.8,91.40
112 /escm/recentItem,20,21,10,31,83,96,7,96,0.00%,208.3,69.4,24.08
110 /escm/order/showOrderDetail,20,7861,7644,10759,12447,14037,3420,14037,0.00%,1.4,31.7,2690.16
117 /escm/messages,20,34,15,75,84,176,8,176,0.00%,113.6,51.2,39.21
118 /escm/recentItem,20,34,15,107,110,113,7,113,0.00%,177.0,58.9,34.84
Order_Search,20,9327,9400,12691,13110,14860,4268,14860,0.00%,1.3,97.6,2821.61
TOTAL,320,5304,611,15089,16827,21180,7,23631,6.25%,3.8,270.0,6414.09
