Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getofferListExtended,5,203,204,204,228,228,187,228,0.000%,1.24813,1192.96,0.00
TOTAL,5,203,204,204,228,228,187,228,0.000%,1.24813,1192.96,0.00
