Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getofferListExtended,5,215,212,219,228,228,208,228,0.000%,1.29870,1241.29,0.00
TOTAL,5,215,212,219,228,228,208,228,0.000%,1.29870,1241.29,0.00
