sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,474,142,PASS
43 /escm/images/favicon.ico,11,7,PASS
Hit_the_portal,805,423,PASS
65 /escm/login/doAuth?id=loginform,1747,1090,PASS
99 /escm/images/favicon.ico,4,5,FAIL
sp_userlogin_46,2348,1692,PASS
324 /escm/customer/index,555,640,FAIL
381 /escm/customer/setSearchBy,15,13,PASS
374 /escm/images/favicon.ico,6,3,PASS
382 /escm/customer/listByCriteria,309,285,PASS
384 /escm/messages,9,15,FAIL
385 /escm/customer/renderCustomerOrganizationDetails,703,534,PASS
405 /escm/messages,8,8,PASS
406 /escm/messages,8,7,PASS
List_Organizations,2386,2272,PASS
128 /escm/customer/listByCriteria,419,432,FAIL
129 /escm/customer/renderCustomerOrganizationDetails,1382,1312,PASS
130 /escm/messages,11,8,PASS
131 /escm/messages,11,8,PASS
org_search_by_orgid,1826,1764,PASS
TOTAL,651,533,PASS
