Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,1,565,565,565,565,0.00,0.00%,1.8,10.33,5976.0
Hit_the_portal_with-cache,1,565,565,565,565,0.00,0.00%,1.8,10.33,5976.0
676 /escm/login/doAuth?id=loginform,1,1290,1290,1290,1290,0.00,0.00%,.8,7.26,9589.0
680 /escm/dashboard/myAccountInfo,1,725,725,725,725,0.00,0.00%,1.4,11.37,8443.0
SP_user_login_46_with_cache,1,2015,2015,2015,2015,0.00,0.00%,.5,8.74,18032.0
681 /escm/customer/index,1,766,766,766,766,0.00,0.00%,1.3,20.46,16047.0
682 /escm/customer/list,1,758,758,758,758,0.00,0.00%,1.3,20.33,15781.0
684 /escm/customer/setSearchBy,1,24,24,24,24,0.00,0.00%,41.7,18.60,457.0
686 /escm/messages,1,18,18,18,18,0.00,0.00%,55.6,25.01,461.0
685 /escm/customer/listByCriteria,1,360,360,360,360,0.00,0.00%,2.8,11.97,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,1,853,853,853,853,0.00,0.00%,1.2,45.96,40148.0
688 /escm/messages,1,21,21,21,21,0.00,0.00%,47.6,21.44,461.0
689 /escm/messages,1,15,15,15,15,0.00,0.00%,66.7,30.01,461.0
List_organizations_with_cache,1,2815,2815,2815,2815,0.00,0.00%,.4,27.14,78229.0
226 /escm/customer/listByCriteria,1,2079,2079,2079,2079,0.00,0.00%,.5,1.76,3755.0
227 /escm/customer/renderCustomerOrganizationDetails,1,756,756,756,756,0.00,0.00%,1.3,51.69,40018.0
228 /escm/messages,1,15,15,15,15,0.00,0.00%,66.7,30.01,461.0
229 /escm/messages,1,16,16,16,16,0.00,0.00%,62.5,28.14,461.0
46_Org_search_by_orgname_withcache,1,2866,2866,2866,2866,0.00,0.00%,.3,15.23,44695.0
TOTAL,19,869,15,2866,2079,905.36,0.00%,6.6,100.13,15466.5
