Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
changeUserAttribute,1,120,120,120,120,120,120,120,0.000%,8.33333,2.22,0.00
TOTAL,1,120,120,120,120,120,120,120,0.000%,8.33333,2.22,0.00
