Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
changeUserAttribute,1,115,115,115,115,115,115,115,0.000%,8.69565,2.32,0.00
TOTAL,1,115,115,115,115,115,115,115,0.000%,8.69565,2.32,0.00
