Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
changeUserAttribute,1,142,142,142,142,142,142,142,0.000%,7.04225,1.88,0.00
TOTAL,1,142,142,142,142,142,142,142,0.000%,7.04225,1.88,0.00
