Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,20,141,45,668,313,153.19,0.00%,.3,1.93,5976.0
Hit_the_portal_with-cache,20,141,45,668,313,153.19,0.00%,.3,1.93,5976.0
143 /escm/productOffer/index,20,110,48,581,132,111.69,0.00%,.3,0.63,1958.0
144 /escm/productOffer/list,20,79,52,133,112,23.07,0.00%,.3,0.64,1958.0
147 /escm/productOffer/getAllService,20,45,34,100,47,16.22,100.00%,.3,0.65,2009.4
148 /escm/messages,20,37,24,71,50,12.54,100.00%,.3,0.58,1793.4
146 /escm/productOffer/offerList,20,55,37,86,77,14.41,100.00%,.3,0.65,2008.8
149 /escm/recentItem,20,48,34,96,61,15.16,100.00%,.3,0.65,2010.3
150 /escm/messages,20,35,25,114,45,19.54,100.00%,.3,0.58,1793.4
151 /escm/recentItem,20,43,29,82,60,12.84,100.00%,.3,0.65,2008.9
List_offers_46_SP_with_cache,20,453,316,865,492,116.65,100.00%,.3,4.99,15540.2
676 /escm/login/doAuth?id=loginform,20,1280,619,2517,1947,571.11,0.00%,.3,2.97,9491.1
680 /escm/dashboard/myAccountInfo,20,902,313,2155,1452,535.83,0.00%,.3,2.64,8414.3
SP_user_login_46_with_cache,20,2183,959,3969,3648,1032.91,0.00%,.3,5.47,17905.4
167 /escm/productOffer/productModelSearch/productModelSearch,20,2395,1543,3403,2873,507.69,0.00%,.3,7.24,23501.6
168 /escm/productOffer/showOfferDetails,20,1065,585,1968,1442,369.55,0.00%,10.2,99.42,10017.4
169 /escm/messages,20,14,8,36,19,6.89,0.00%,555.6,250.11,461.0
170 /escm/recentItem,20,15,8,30,27,6.33,0.00%,666.7,222.01,341.0
Offer_search_by_offerid_46_with_cache,20,3490,2177,4817,4158,664.47,0.00%,.3,10.34,34321.0
TOTAL,380,659,8,4817,2457,1048.16,36.84%,5.9,44.44,7762.4
