Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
6 /escm/login/auth,30,423,101,1112,2140,3402,79,3402,0.00%,1.0,.0
9 /escm/css/theme/jquery-ui-1.8.17.custom.css,30,25,13,82,94,101,10,101,0.00%,1.2,.0
12 /escm/css/jquery.alerts.css,30,18,8,57,69,77,6,77,0.00%,1.2,.0
10 /escm/css/merchant.css,30,100,69,172,243,393,61,393,0.00%,1.2,.0
8 /escm/js/jquery-ui-1.8.17.custom.min.js,30,78,55,137,140,266,46,266,0.00%,1.2,.0
7 /escm/js/jquery-1.5.2.min.js,30,96,73,136,160,371,66,371,0.00%,1.2,.0
15 /escm/js/jquery.alerts.js,30,13,8,13,43,64,7,64,0.00%,1.2,.0
13 /escm/css/jquery.ui.timepicker.css,30,11,6,15,42,57,5,57,0.00%,1.2,.0
14 /escm/js/validator.js,30,15,9,20,42,73,8,73,0.00%,1.2,.0
11 /escm/js/jquery.bpopup.min.js,30,14,7,46,49,69,6,69,0.00%,1.2,.0
17 /escm/css/logintypedialog.css,30,10,7,18,24,36,6,36,0.00%,1.2,.0
16 /escm/images/favicon.ico,30,17,8,37,62,118,6,118,0.00%,1.2,.0
19 /escm/css/modern_ui/images/footer.png,30,8,6,14,17,26,5,26,0.00%,1.2,.0
18 /escm/images/logo.png,30,12,6,28,33,100,5,100,0.00%,1.2,.0
20 /escm/images/add.jpg,30,10,7,14,17,71,5,71,0.00%,1.2,.0
22 /escm/css/fonts/Roboto-Bold.woff,30,13,7,32,41,72,5,72,0.00%,1.2,.0
21 /escm/css/fonts/Roboto-Light.woff,30,7,7,12,12,14,5,14,0.00%,1.2,.0
23 /escm/css/fonts/Roboto-Regular.ttf,30,10,8,12,15,40,6,40,0.00%,1.2,.0
24 /escm/login/doAuth?id=loginform,30,10607,15683,16099,16234,16457,31,16457,33.33%,1.8,.0
29 /escm/js/jquery-validate/jquery.validate.min.js,30,51,47,86,99,138,10,138,0.00%,1.8,.0
30 /escm/js/jquery.ba-dotimeout.min.js,30,37,28,73,86,151,9,151,0.00%,1.8,.0
28 /escm/js/jquery.blockUI.js,30,91,62,211,217,343,10,343,0.00%,1.8,.0
32 /escm/js/jquery-validate/jquery.metadata.js,30,48,32,107,159,171,7,171,0.00%,1.8,.0
