Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateReseller,5,614,587,601,863,863,486,863,0.000%,1.22041,0.48,0.00
TOTAL,5,614,587,601,863,863,486,863,0.000%,1.22041,0.48,0.00
