Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateReseller,5,654,609,626,888,888,573,888,0.000%,1.01276,0.40,0.00
TOTAL,5,654,609,626,888,888,573,888,0.000%,1.01276,0.40,0.00
