Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateReseller,5,813,666,1058,1150,1150,547,1150,0.000%,.99128,0.39,0.00
TOTAL,5,813,666,1058,1150,1150,547,1150,0.000%,.99128,0.39,0.00
