sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,10,123,56,242,242,545,42,545,0.00%,.2,1.0,151.41
Hit_the_portal_with-cache,10,123,56,242,242,545,42,545,0.00%,.2,1.0,151.41
676 /escm/login/doAuth?id=loginform,10,1830,1489,3391,3391,3530,1025,3530,0.00%,.2,1.5,880.91
680 /escm/dashboard/myAccountInfo,10,1551,1172,2787,2787,3010,758,3010,0.00%,.2,1.3,827.50
SP_user_login_46_with_cache,10,3382,2661,5055,5055,5912,1819,5912,0.00%,.2,2.7,1518.92
193 /escm/order/index,10,2872,1777,5080,5080,6418,1198,6418,0.00%,.2,3.3,1701.44
194 /escm/order/list,10,2559,1459,5190,5190,6014,1295,6014,0.00%,1.7,35.8,1662.98
196 /escm/order/showOrderDetail,10,2318,1661,2141,2141,6963,1420,6963,0.00%,1.4,31.4,1571.28
197 /escm/messages,10,24,15,42,42,53,12,53,0.00%,188.7,84.9,13.35
198 /escm/recentItem,10,14,13,19,19,27,10,27,0.00%,370.4,123.3,4.94
List_orders_with_cache,10,7788,6228,12021,12021,12177,4612,12177,0.00%,.1,9.1,2725.47
199 /escm/order/searchOrder,10,467,438,636,636,656,379,656,0.00%,15.2,52.0,95.91
201 /escm/messages,10,17,16,27,27,28,10,28,0.00%,357.1,160.8,6.29
202 /escm/recentItem,10,15,12,19,19,35,10,35,0.00%,285.7,95.1,7.05
200 /escm/order/showOrderDetail,10,2391,1724,2921,2921,7268,1436,7268,0.00%,1.4,32.2,1694.81
203 /escm/messages,10,20,14,20,20,76,10,76,0.00%,131.6,59.2,18.63
204 /escm/recentItem,10,11,10,14,14,15,9,15,0.00%,666.7,222.0,1.92
Order_search_by_order_id_with_cache,10,2924,2197,3411,3411,7889,1910,7889,0.00%,1.3,35.9,1717.26
TOTAL,180,1579,656,4878,6228,9540,9,12177,0.00%,2.5,32.6,2271.00
