sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,10,145,59,305,305,612,42,612,0.00%,.2,1.0,173.20
Hit_the_portal_with-cache,10,145,59,305,305,612,42,612,0.00%,.2,1.0,173.20
676 /escm/login/doAuth?id=loginform,10,1859,1639,3059,3059,3104,1217,3104,0.00%,.2,1.5,651.17
680 /escm/dashboard/myAccountInfo,10,1575,1259,2586,2586,2748,930,2748,0.00%,.2,1.3,612.23
SP_user_login_46_with_cache,10,3435,3594,4391,4391,4501,2221,4501,0.00%,.2,2.7,877.60
681 /escm/customer/index,10,1344,1152,1461,1461,2804,864,2804,0.00%,.2,2.5,517.51
682 /escm/customer/list,10,1387,1319,1690,1690,2430,840,2430,0.00%,.2,2.5,430.68
684 /escm/customer/setSearchBy,10,25,19,41,41,60,11,60,0.00%,.2,.1,14.50
686 /escm/messages,10,24,16,39,39,86,10,86,0.00%,.2,.1,22.09
685 /escm/customer/listByCriteria,10,371,327,465,465,661,236,661,0.00%,.2,.7,117.11
687 /escm/customer/renderCustomerOrganizationDetails,10,685,580,928,928,1191,498,1191,0.00%,.2,6.4,215.49
688 /escm/messages,10,16,13,18,18,34,10,34,0.00%,.2,.1,6.49
689 /escm/messages,10,19,13,29,29,39,11,39,0.00%,.2,.1,9.19
List_organizations_with_cache,10,3873,3682,5150,5150,5442,2693,5442,0.00%,.2,11.7,847.34
226 /escm/customer/listByCriteria,10,2583,2528,2659,2659,3238,2229,3238,0.00%,.2,.6,248.39
227 /escm/customer/renderCustomerOrganizationDetails,10,565,474,638,638,1279,390,1279,0.00%,7.8,305.5,251.46
228 /escm/messages,10,13,12,17,17,20,10,20,0.00%,500.0,225.1,3.05
229 /escm/messages,10,11,12,13,13,14,9,14,0.00%,714.3,321.6,1.51
46_Org_search_by_orgname_withcache,10,3173,3053,3814,3814,3902,2808,3902,0.00%,.2,6.9,355.26
TOTAL,190,1118,511,3062,3703,4501,9,5442,0.00%,2.9,43.9,1328.36
