sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,5,166,85,88,545,545,57,545,0.00%,9.2,46.8,189.65
43 /escm/images/favicon.ico,5,10,8,11,20,20,6,20,0.00%,250.0,46718.5,5.08
Hit_the_portal,5,489,385,422,910,910,358,910,100.00%,5.5,3713.4,211.60
65 /escm/login/doAuth?id=loginform,5,3489,2766,4609,5562,5562,1958,5562,0.00%,.9,8.1,1363.83
99 /escm/images/favicon.ico,5,5,5,6,6,6,5,6,0.00%,833.3,101.7,0.49
sp_userlogin_46,5,4157,3383,5244,6231,6231,2661,6231,0.00%,.8,360.2,1350.11
1 /escm/order/index,5,3139,3197,3997,4204,4204,1694,4204,0.00%,1.2,22.3,921.39
12 /escm/order/showOrderDetail,5,49,36,49,105,105,28,105,100.00%,47.6,59.4,28.65
22 /escm/messages,5,13,13,14,14,14,12,14,0.00%,357.1,160.8,0.89
23 /escm/recentItem,5,12,11,12,22,22,9,22,0.00%,227.3,75.7,4.71
List_Orders,5,3373,3391,4259,4364,4364,1894,4364,100.00%,1.1,167.0,908.25
4 /escm/order/searchOrder,5,2909,3298,4204,4621,4621,1085,4621,0.00%,1.1,3.9,1452.66
6 /escm/messages,5,14,13,14,20,20,11,20,0.00%,250.0,112.5,3.16
7 /escm/recentItem,5,10,10,11,14,14,9,14,0.00%,357.1,118.9,1.72
5 /escm/order/showOrderDetail,5,1558,1459,1658,1806,1806,1430,1806,0.00%,2.8,63.3,149.25
10 /escm/messages,5,11,11,12,12,12,11,12,0.00%,416.7,187.6,0.49
13 /escm/recentItem,5,13,11,12,26,26,9,26,0.00%,192.3,64.0,6.18
order_search_by_id,5,4570,4862,5731,6188,6188,2842,6188,0.00%,.8,59.2,1329.52
TOTAL,90,1333,57,4259,4862,6188,5,6231,16.67%,14.4,1278.9,1827.24
