Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,5,165,51,351,299,131.46,0.00%,14.2,83.13,5976.0
Hit_the_portal_with-cache,5,165,51,351,299,131.46,0.00%,14.2,83.13,5976.0
676 /escm/login/doAuth?id=loginform,5,1756,1286,2554,1912,447.43,0.00%,2.0,18.34,9592.4
680 /escm/dashboard/myAccountInfo,5,1517,1205,1833,1675,230.39,0.00%,2.7,22.49,8443.4
SP_user_login_46_with_cache,5,3273,2600,4229,3745,618.99,0.00%,1.2,20.82,18035.8
193 /escm/order/index,5,2029,1568,2520,2147,315.50,0.00%,2.0,43.04,22211.0
194 /escm/order/list,5,1829,1470,2176,2068,257.76,0.00%,2.3,49.49,22055.8
196 /escm/order/showOrderDetail,5,1650,1546,1841,1687,106.05,0.00%,2.7,59.36,22380.2
197 /escm/messages,5,17,14,23,17,3.16,0.00%,217.4,97.87,461.0
198 /escm/recentItem,5,15,12,22,19,4.13,0.00%,227.3,75.68,341.0
List_orders_with_cache,5,5541,4875,6210,5957,487.78,0.00%,.8,53.03,67449.0
199 /escm/order/searchOrder,5,401,332,459,440,47.95,0.00%,10.9,37.18,3495.0
201 /escm/messages,5,19,12,34,25,8.45,0.00%,147.1,66.21,461.0
202 /escm/recentItem,5,16,13,24,16,4.02,0.00%,208.3,69.38,341.0
200 /escm/order/showOrderDetail,5,1699,1394,2023,2010,266.71,0.00%,2.5,57.77,23935.0
203 /escm/messages,5,17,11,26,17,5.02,0.00%,192.3,86.58,461.0
204 /escm/recentItem,5,16,11,27,17,5.71,0.00%,185.2,61.67,341.0
Order_search_by_order_id_with_cache,5,2169,1783,2576,2504,319.87,0.00%,1.9,55.03,29034.0
TOTAL,90,1238,11,6210,2600,1461.40,0.00%,14.5,189.49,13388.3
