Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createResellerUser,1,202,202,202,202,202,202,202,0.000%,4.95050,1.31,0.00
TOTAL,1,202,202,202,202,202,202,202,0.000%,4.95050,1.31,0.00
