Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createResellerUser,5,188,185,192,212,212,176,212,0.000%,1.28337,0.34,0.00
TOTAL,5,188,185,192,212,212,176,212,0.000%,1.28337,0.34,0.00
