Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createResellerUser,5,186,182,195,202,202,175,202,0.000%,1.26103,0.33,0.00
TOTAL,5,186,182,195,202,202,175,202,0.000%,1.26103,0.33,0.00
