Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createResellerUser,5,189,188,199,218,218,159,218,0.000%,1.23396,0.33,0.00
TOTAL,5,189,188,199,218,218,159,218,0.000%,1.23396,0.33,0.00
