sampler_label, benchmark_result, currentfile_result, status
65 /escm/login/doAuth?id=loginform,1668,1500,PASS
99 /escm/images/favicon.ico,11,8,PASS
sp_userlogin_46,2525,2135,PASS
TOTAL,1401,1214,PASS
