Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createAccount,1,92,92,92,92,92,92,92,0.000%,10.86957,4.28,0.00
TOTAL,1,92,92,92,92,92,92,92,0.000%,10.86957,4.28,0.00
