Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createAccount,1,71,71,71,71,71,71,71,0.000%,14.08451,5.54,0.00
TOTAL,1,71,71,71,71,71,71,71,0.000%,14.08451,5.54,0.00
