Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createAccount,1,81,81,81,81,81,81,81,0.000%,12.34568,4.86,0.00
TOTAL,1,81,81,81,81,81,81,81,0.000%,12.34568,4.86,0.00
