Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,20,144,36,756,297,180.71,0.00%,26.5,154.39,5976.0
Hit_the_portal_with-cache,20,144,36,756,297,180.71,0.00%,26.5,154.39,5976.0
676 /escm/login/doAuth?id=loginform,20,1933,942,3612,2840,755.58,0.00%,5.5,51.87,9592.4
680 /escm/dashboard/myAccountInfo,20,1663,767,2752,2446,660.69,0.00%,7.3,59.51,8385.0
SP_user_login_46_with_cache,20,3597,1709,5309,5059,1300.87,0.00%,3.8,66.14,17977.4
681 /escm/customer/index,20,1597,757,3026,2493,705.36,0.00%,6.6,103.58,16047.0
682 /escm/customer/list,20,1454,727,2851,2169,596.38,0.00%,7.0,108.11,15781.0
684 /escm/customer/setSearchBy,20,21,11,46,34,9.64,0.00%,434.8,194.04,457.0
686 /escm/messages,20,16,8,57,24,10.81,0.00%,350.9,157.96,461.0
685 /escm/customer/listByCriteria,20,332,222,536,459,85.68,0.00%,37.3,160.80,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,20,569,415,1181,669,161.02,0.00%,16.9,663.94,40146.5
688 /escm/messages,20,23,9,101,40,23.34,0.00%,198.0,89.15,461.0
689 /escm/messages,20,15,9,60,26,11.68,0.00%,333.3,150.07,461.0
List_organizations_with_cache,20,4030,2403,5772,5458,1151.93,0.00%,3.5,264.71,78227.5
226 /escm/customer/listByCriteria,20,2608,2130,4470,3082,638.33,0.00%,4.5,16.41,3755.0
227 /escm/customer/renderCustomerOrganizationDetails,20,512,342,811,666,123.28,0.00%,24.7,963.71,40016.4
228 /escm/messages,20,12,8,27,17,4.95,0.00%,740.7,333.48,461.0
229 /escm/messages,20,13,8,36,20,6.63,0.00%,555.6,250.11,461.0
46_Org_search_by_orgname_withcache,20,3146,2659,4834,3914,613.98,0.00%,4.1,180.58,44693.4
TOTAL,380,1149,8,5772,3071,1423.27,0.00%,65.8,993.98,15460.5
