Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrganization,5,210,206,221,250,250,181,250,0.000%,1.29668,0.52,0.00
TOTAL,5,210,206,221,250,250,181,250,0.000%,1.29668,0.52,0.00
