Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrganization,5,209,209,210,232,232,191,232,0.000%,1.23793,0.50,0.00
TOTAL,5,209,209,210,232,232,191,232,0.000%,1.23793,0.50,0.00
