Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrganization,5,202,201,221,230,230,170,230,0.000%,1.69549,0.68,0.00
TOTAL,5,202,201,221,230,230,170,230,0.000%,1.69549,0.68,0.00
