sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,474,128,PASS
43 /escm/images/favicon.ico,11,14,FAIL
Hit_the_portal,805,517,PASS
65 /escm/login/doAuth?id=loginform,1747,1365,PASS
99 /escm/images/favicon.ico,4,7,FAIL
sp_userlogin_46,2348,2218,PASS
324 /escm/customer/index,555,899,FAIL
381 /escm/customer/setSearchBy,15,18,FAIL
374 /escm/images/favicon.ico,6,6,PASS
382 /escm/customer/listByCriteria,309,352,FAIL
384 /escm/messages,9,11,FAIL
385 /escm/customer/renderCustomerOrganizationDetails,703,576,PASS
405 /escm/messages,8,11,FAIL
406 /escm/messages,8,11,FAIL
List_Organizations,2386,3053,FAIL
128 /escm/customer/listByCriteria,419,459,FAIL
129 /escm/customer/renderCustomerOrganizationDetails,1382,1715,FAIL
130 /escm/messages,11,19,FAIL
131 /escm/messages,11,12,FAIL
org_search_by_orgid,1826,2213,FAIL
TOTAL,651,680,FAIL
