Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderList,5,239,233,236,295,295,212,295,0.000%,1.20715,17.69,0.00
TOTAL,5,239,233,236,295,295,212,295,0.000%,1.20715,17.69,0.00
