Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderList,5,241,242,256,263,263,212,263,0.000%,1.21389,17.79,0.00
TOTAL,5,241,242,256,263,263,212,263,0.000%,1.21389,17.79,0.00
