sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
524 /escm/login/auth,20,80,42,99,105,605,36,605,0.00%,.3,1.9,122.10
Hit_the_portal_new,20,480,448,485,548,1074,414,1074,0.00%,.3,190.9,139.61
540 /success.txt,20,42043,42006,42022,42255,42485,41995,42485,100.00%,.5,1.0,114.98
541 /escm/login/doAuth?id=loginform,20,4189,4754,6342,6594,7016,1373,7016,0.00%,.3,2.9,1955.29
543 /escm/,20,4163,4583,6473,6687,6798,1022,6798,0.00%,.3,2.6,1855.51
545 /escm/dashboard/index,20,5246,5175,7037,8430,11460,1123,11460,0.00%,.3,2.4,2419.98
546 /escm/dashboard/myAccountInfo,20,7048,6829,12209,12367,12782,1577,12782,0.00%,.3,2.3,3398.43
SP_user_login_46_new,20,63660,66704,72566,73586,73722,48508,73722,100.00%,.3,91.9,8261.80
777 /escm/order/index,20,10100,10210,13115,13669,15593,5474,15593,0.00%,.3,5.7,2906.93
779 /escm/order/list,20,7554,6028,13556,13959,15428,3874,15428,0.00%,.3,5.7,3350.03
783 /escm/images/sidebar-bg.jpg,20,10,6,25,25,51,3,51,0.00%,392.2,652.2,11.37
785 /escm/order/showOrderDetail,20,3108,2518,4674,5808,6936,1654,6936,0.00%,2.9,63.0,1393.70
796 /escm/messages,20,32,15,37,121,240,10,240,0.00%,83.3,37.5,53.21
797 /escm/recentItem,20,41,20,109,111,112,9,112,0.00%,178.6,59.5,39.63
List_orders_without_cache_4.6,20,21164,22086,25699,26599,28307,13559,28307,0.00%,.2,50.1,4026.32
807 /escm/order/searchOrder,20,570,317,1645,1736,1741,183,1741,0.00%,11.5,47.9,509.73
809 /escm/messages,20,22,15,38,58,74,10,74,0.00%,270.3,121.7,16.75
810 /escm/recentItem,20,18,14,37,44,47,9,47,0.00%,425.5,141.7,11.30
808 /escm/order/showOrderDetail,20,3780,2384,9977,9997,10394,1308,10394,0.00%,1.9,42.1,3189.49
812 /escm/messages,20,16,12,39,42,48,9,48,0.00%,416.7,187.6,11.56
813 /escm/recentItem,20,28,16,57,61,118,9,118,0.00%,169.5,56.4,26.37
order_search_by_offer_name_without_cache_4.6,20,4469,2704,11828,11848,12148,1542,12148,0.00%,1.6,75.7,3616.71
TOTAL,440,8083,1736,24153,42022,71584,3,73722,9.09%,3.0,178.1,15522.35
