Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrgUser,5,267,218,316,441,441,172,441,0.000%,1.38083,0.35,0.00
TOTAL,5,267,218,316,441,441,172,441,0.000%,1.38083,0.35,0.00
