Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrgUser,5,232,252,259,263,263,189,263,0.000%,1.26968,0.32,0.00
TOTAL,5,232,252,259,263,263,189,263,0.000%,1.26968,0.32,0.00
