Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrgUser,5,277,261,300,368,368,210,368,0.000%,1.31926,0.34,0.00
TOTAL,5,277,261,300,368,368,210,368,0.000%,1.31926,0.34,0.00
