Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrgUser,5,301,293,315,388,388,237,388,0.000%,1.23762,0.32,0.00
TOTAL,5,301,293,315,388,388,237,388,0.000%,1.23762,0.32,0.00
