timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Hostname
25/09/2017 14:48,1507,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,10558,2785,2,2,http://10.10.3.16:8080/escm/order/newOrder,750,ESCM-APP
25/09/2017 14:48,933,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,10558,2737,2,2,http://10.10.3.16:8080/escm/order/newOrder,429,ESCM-APP
25/09/2017 14:48,448,470 /escm/order/newOrder,200,OK,Thread Group 1-1,text,true,,9504,637,3,3,http://10.10.3.16:8080/escm/order/newOrder,444,ESCM-APP
25/09/2017 14:48,513,470 /escm/order/newOrder,200,OK,Thread Group 1-2,text,true,,9504,637,3,3,http://10.10.3.16:8080/escm/order/newOrder,510,ESCM-APP
25/09/2017 14:48,1010,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,10558,2665,4,4,http://10.10.3.16:8080/escm/order/newOrder,413,ESCM-APP
25/09/2017 14:48,545,470 /escm/order/newOrder,200,OK,Thread Group 1-3,text,true,,9504,637,4,4,http://10.10.3.16:8080/escm/order/newOrder,539,ESCM-APP
25/09/2017 14:48,990,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,10558,2761,4,4,http://10.10.3.16:8080/escm/order/newOrder,459,ESCM-APP
25/09/2017 14:48,518,470 /escm/order/newOrder,200,OK,Thread Group 1-4,text,true,,9504,637,5,5,http://10.10.3.16:8080/escm/order/newOrder,514,ESCM-APP
25/09/2017 14:48,1024,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,,10558,2677,6,6,http://10.10.3.16:8080/escm/order/newOrder,424,ESCM-APP
25/09/2017 14:48,544,470 /escm/order/newOrder,200,OK,Thread Group 1-5,text,true,,9504,637,6,6,http://10.10.3.16:8080/escm/order/newOrder,539,ESCM-APP
25/09/2017 14:48,1093,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-6,text,true,,10558,2665,7,7,http://10.10.3.16:8080/escm/order/newOrder,474,ESCM-APP
25/09/2017 14:48,779,470 /escm/order/newOrder,200,OK,Thread Group 1-6,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,776,ESCM-APP
25/09/2017 14:48,1155,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-7,text,true,,10558,2773,8,8,http://10.10.3.16:8080/escm/order/newOrder,545,ESCM-APP
25/09/2017 14:48,5377,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-1,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5374,ESCM-APP
25/09/2017 14:48,19,472 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,579,8,8,http://10.10.3.16:8080/escm/messages,18,ESCM-APP
25/09/2017 14:48,7351,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,,true,,25701,4699,8,8,null,6586,ESCM-APP
25/09/2017 14:48,721,470 /escm/order/newOrder,200,OK,Thread Group 1-7,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,713,ESCM-APP
25/09/2017 14:48,1184,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-8,text,true,,10558,2785,8,8,http://10.10.3.16:8080/escm/order/newOrder,511,ESCM-APP
25/09/2017 14:48,5795,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-2,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5792,ESCM-APP
25/09/2017 14:48,31,472 /escm/messages,200,OK,Thread Group 1-2,text,true,,461,579,8,8,http://10.10.3.16:8080/escm/messages,22,ESCM-APP
25/09/2017 14:48,7272,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-2,,true,,25701,4651,8,8,null,6753,ESCM-APP
25/09/2017 14:48,671,470 /escm/order/newOrder,200,OK,Thread Group 1-8,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,667,ESCM-APP
25/09/2017 14:48,1210,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-9,text,true,,10558,2785,8,8,http://10.10.3.16:8080/escm/order/newOrder,468,ESCM-APP
25/09/2017 14:48,5937,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-3,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5934,ESCM-APP
25/09/2017 14:48,18,472 /escm/messages,200,OK,Thread Group 1-3,text,true,,461,579,8,8,http://10.10.3.16:8080/escm/messages,18,ESCM-APP
25/09/2017 14:48,7510,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-3,,true,,25701,4579,8,8,null,6904,ESCM-APP
25/09/2017 14:48,627,470 /escm/order/newOrder,200,OK,Thread Group 1-9,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,622,ESCM-APP
25/09/2017 14:48,1387,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-10,text,true,,10558,2665,7,7,http://10.10.3.16:8080/escm/order/newOrder,656,ESCM-APP
25/09/2017 14:48,6208,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-4,text,true,,5178,698,7,7,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,6205,ESCM-APP
25/09/2017 14:48,15,472 /escm/messages,200,OK,Thread Group 1-4,text,true,,461,579,7,7,http://10.10.3.16:8080/escm/messages,15,ESCM-APP
25/09/2017 14:48,7731,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-4,,true,,25701,4675,7,7,null,7193,ESCM-APP
25/09/2017 14:48,702,470 /escm/order/newOrder,200,OK,Thread Group 1-10,text,true,,9504,637,6,6,http://10.10.3.16:8080/escm/order/newOrder,699,ESCM-APP
25/09/2017 14:48,6287,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-5,text,true,,5178,698,6,6,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,6284,ESCM-APP
25/09/2017 14:48,21,472 /escm/messages,200,OK,Thread Group 1-5,text,true,,461,579,6,6,http://10.10.3.16:8080/escm/messages,21,ESCM-APP
25/09/2017 14:48,7876,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-5,,true,,25701,4591,6,6,null,7268,ESCM-APP
25/09/2017 14:48,5974,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-6,text,true,,5178,698,5,5,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5971,ESCM-APP
25/09/2017 14:48,26,472 /escm/messages,200,OK,Thread Group 1-6,text,true,,461,579,5,5,http://10.10.3.16:8080/escm/messages,26,ESCM-APP
25/09/2017 14:48,7872,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-6,,true,,25701,4579,5,5,null,7247,ESCM-APP
25/09/2017 14:48,6179,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-7,text,true,,5178,698,4,4,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,6176,ESCM-APP
25/09/2017 14:48,14,472 /escm/messages,200,OK,Thread Group 1-7,text,true,,461,579,4,4,http://10.10.3.16:8080/escm/messages,14,ESCM-APP
25/09/2017 14:48,8069,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-7,,true,,25701,4687,4,4,null,7448,ESCM-APP
25/09/2017 14:48,5862,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-8,text,true,,5178,698,3,3,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5860,ESCM-APP
25/09/2017 14:48,16,472 /escm/messages,200,OK,Thread Group 1-8,text,true,,461,579,3,3,http://10.10.3.16:8080/escm/messages,16,ESCM-APP
25/09/2017 14:48,7733,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-8,,true,,25701,4699,3,3,null,7054,ESCM-APP
25/09/2017 14:48,6003,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-9,text,true,,5178,698,2,2,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,6001,ESCM-APP
25/09/2017 14:48,16,472 /escm/messages,200,OK,Thread Group 1-9,text,true,,461,579,2,2,http://10.10.3.16:8080/escm/messages,16,ESCM-APP
25/09/2017 14:48,7856,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-9,,true,,25701,4699,2,2,null,7107,ESCM-APP
