sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,583,177,PASS
43 /escm/images/favicon.ico,10,7,PASS
Hit_the_portal,902,485,PASS
65 /escm/login/doAuth?id=loginform,1365,1979,FAIL
99 /escm/images/favicon.ico,5,4,PASS
sp_userlogin_46,1989,2598,FAIL
1 /escm/order/index,1042,2025,FAIL
12 /escm/order/showOrderDetail,85,176,FAIL
22 /escm/messages,12,16,FAIL
23 /escm/recentItem,10,10,PASS
List_Orders,1307,2399,FAIL
104 /escm/order/searchOrder,385,1347,FAIL
105 /escm/order/searchOrder,154,254,FAIL
107 /escm/messages,9,10,FAIL
109 /escm/messages,8,9,FAIL
110 /escm/recentItem,9,8,PASS
111 /escm/recentItem,7,9,FAIL
106 /escm/order/showOrderDetail,1223,2215,FAIL
108 /escm/order/showOrderDetail,1190,2297,FAIL
113 /escm/messages,10,18,FAIL
114 /escm/messages,9,12,FAIL
115 /escm/recentItem,12,8,PASS
116 /escm/recentItem,8,8,PASS
order_search_by_offername,3041,6227,FAIL
TOTAL,557,929,FAIL
