Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderHistory,5,1576,1620,1640,1680,1680,1348,1680,0.000%,.87566,16.74,0.00
TOTAL,5,1576,1620,1640,1680,1680,1348,1680,0.000%,.87566,16.74,0.00
