Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderHistory,5,1540,1359,1868,1889,1889,1264,1889,0.000%,.86356,16.51,0.00
TOTAL,5,1540,1359,1868,1889,1889,1264,1889,0.000%,.86356,16.51,0.00
