Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderHistory,5,1515,1455,1562,1707,1707,1416,1707,0.000%,.88952,17.00,0.00
TOTAL,5,1515,1455,1562,1707,1707,1416,1707,0.000%,.88952,17.00,0.00
