sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,559,111,PASS
43 /escm/images/favicon.ico,10,6,PASS
Hit_the_portal,907,392,PASS
65 /escm/login/doAuth?id=loginform,1360,10952,FAIL
99 /escm/images/favicon.ico,13,5,PASS
sp_userlogin_46,1992,11761,FAIL
49 /escm/productOffer/index,1270,5861,FAIL
61 /escm/productOffer/getAllService,116,68,PASS
59 /escm/productOffer/offerList,121,55,PASS
62 /escm/messages,20,11,PASS
63 /escm/messages,8,9,FAIL
65 /escm/recentItem,20,11,PASS
66 /escm/recentItem,7,15,FAIL
60 /escm/productOffer/offerList,185,187,FAIL
67 /escm/messages,8,12,FAIL
72 /escm/recentItem,6,8,FAIL
List_offers,1841,6349,FAIL
133 /escm/productOffer/productModelSearch/productModelSearch,1583,2857,FAIL
178 /escm/images/favicon.ico,6,15,FAIL
184 /escm/productOffer/showOfferDetails,780,1005,FAIL
185 /escm/messages,8,16,FAIL
186 /escm/recentItem,7,12,FAIL
Offer_search_by_id,3072,4841,FAIL
TOTAL,604,1937,FAIL
