sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,583,116,PASS
43 /escm/images/favicon.ico,10,6,PASS
Hit_the_portal,902,467,PASS
65 /escm/login/doAuth?id=loginform,1365,10601,FAIL
99 /escm/images/favicon.ico,5,3,PASS
sp_userlogin_46,1989,11156,FAIL
1 /escm/order/index,1042,4723,FAIL
12 /escm/order/showOrderDetail,85,626,FAIL
22 /escm/messages,12,9,PASS
23 /escm/recentItem,10,10,PASS
List_Orders,1307,5480,FAIL
104 /escm/order/searchOrder,385,2692,FAIL
105 /escm/order/searchOrder,154,980,FAIL
107 /escm/messages,9,13,FAIL
109 /escm/messages,8,9,FAIL
110 /escm/recentItem,9,8,PASS
111 /escm/recentItem,7,7,PASS
106 /escm/order/showOrderDetail,1223,2946,FAIL
108 /escm/order/showOrderDetail,1190,2267,FAIL
113 /escm/messages,10,9,PASS
114 /escm/messages,9,8,PASS
115 /escm/recentItem,12,8,PASS
116 /escm/recentItem,8,7,PASS
order_search_by_offername,3041,9052,FAIL
TOTAL,557,2133,FAIL
