Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateAccount,5,180,66,71,642,642,60,642,0.000%,1.15875,0.46,0.00
TOTAL,5,180,66,71,642,642,60,642,0.000%,1.15875,0.46,0.00
