Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateAccount,5,55,54,58,69,69,44,69,0.000%,1.29634,0.51,0.00
TOTAL,5,55,54,58,69,69,44,69,0.000%,1.29634,0.51,0.00
