Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateAccount,5,59,59,63,65,65,54,65,0.000%,2.05086,0.81,0.00
TOTAL,5,59,59,63,65,65,54,65,0.000%,2.05086,0.81,0.00
