Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateReseller,1,589,589,589,589,589,589,589,0.000%,1.69779,0.67,0.00
TOTAL,1,589,589,589,589,589,589,589,0.000%,1.69779,0.67,0.00
