Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateReseller,1,597,597,597,597,597,597,597,0.000%,1.67504,0.66,0.00
TOTAL,1,597,597,597,597,597,597,597,0.000%,1.67504,0.66,0.00
