Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
524 /escm/login/auth,2,666,611,722,722,55.50,0.00%,.0,0.00,5976.0
Hit_the_portal_new,2,1294,1140,1448,1448,154.00,0.00%,.0,0.03,591832.0
540 /success.txt,2,42145,42129,42162,42162,16.50,100.00%,.0,0.00,2206.0
541 /escm/login/doAuth?id=loginform,2,5474,1807,9141,9141,3667.00,0.00%,.0,0.00,9587.5
543 /escm/,2,1196,951,1442,1442,245.50,0.00%,.0,0.00,8771.0
545 /escm/dashboard/index,2,1045,904,1186,1186,141.00,0.00%,.0,0.00,8611.0
546 /escm/dashboard/myAccountInfo,2,976,851,1102,1102,125.50,0.00%,.0,0.00,8443.0
SP_user_login_46_new,2,52026,47379,56674,56674,4647.50,100.00%,.0,0.02,346954.5
598 /escm/customer/index,2,1569,1031,2107,2107,538.00,0.00%,.0,0.00,16047.0
600 /escm/customer/list,2,1096,849,1344,1344,247.50,0.00%,.0,0.00,15781.0
650 /escm/customer/setSearchBy,2,65,31,100,100,34.50,0.00%,.0,0.00,457.0
652 /escm/images/sidebar-bg.jpg,2,22,9,35,35,13.00,0.00%,.0,0.00,1703.0
654 /escm/messages,2,72,24,120,120,48.00,0.00%,.0,0.00,461.0
653 /escm/customer/listByCriteria,2,870,584,1157,1157,286.50,0.00%,.0,0.00,4502.0
658 /escm/customer/renderCustomerOrganizationDetails,2,2646,1162,4130,4130,1484.00,0.00%,.0,0.00,40200.5
673 /escm/messages,2,23,17,30,30,6.50,0.00%,.0,0.00,461.0
674 /escm/messages,2,17,17,18,18,0.50,0.00%,.0,0.00,461.0
List_Organizations_without_cache,2,7788,4800,10776,10776,2988.00,0.00%,.0,0.03,714738.5
TOTAL,36,6610,9,56674,10776,14626.32,11.11%,.0,0.08,98732.9
