Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,1,569,569,569,569,0.00,0.00%,1.8,10.26,5976.0
Hit_the_portal_with-cache,1,569,569,569,569,0.00,0.00%,1.8,10.26,5976.0
676 /escm/login/doAuth?id=loginform,1,1103,1103,1103,1103,0.00,0.00%,.9,8.49,9593.0
680 /escm/dashboard/myAccountInfo,1,681,681,681,681,0.00,0.00%,1.5,12.11,8448.0
SP_user_login_46_with_cache,1,1784,1784,1784,1784,0.00,0.00%,.6,9.88,18041.0
143 /escm/productOffer/index,1,702,702,702,702,0.00,0.00%,1.4,17.47,12556.0
144 /escm/productOffer/list,1,667,667,667,667,0.00,0.00%,1.5,18.15,12394.0
147 /escm/productOffer/getAllService,1,142,142,142,142,0.00,0.00%,7.0,3.36,489.0
148 /escm/messages,1,13,13,13,13,0.00,0.00%,76.9,34.63,461.0
146 /escm/productOffer/offerList,1,152,152,152,152,0.00,0.00%,6.6,61.72,9606.0
149 /escm/recentItem,1,13,13,13,13,0.00,0.00%,76.9,25.62,341.0
150 /escm/messages,1,13,13,13,13,0.00,0.00%,76.9,34.63,461.0
151 /escm/recentItem,1,10,10,10,10,0.00,0.00%,100.0,33.30,341.0
List_offers_46_SP_with_cache,1,1712,1712,1712,1712,0.00,0.00%,.6,20.91,36649.0
TOTAL,14,580,10,1784,1712,579.52,0.00%,7.8,66.42,8666.6
