Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
changeUserAttribute,5,130,127,148,149,149,107,149,0.000%,1.22489,0.33,0.00
TOTAL,5,130,127,148,149,149,107,149,0.000%,1.22489,0.33,0.00
