Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
changeUserAttribute,5,129,129,130,160,160,108,160,0.000%,1.39353,0.37,0.00
TOTAL,5,129,129,130,160,160,108,160,0.000%,1.39353,0.37,0.00
