sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,559,141,PASS
43 /escm/images/favicon.ico,10,8,PASS
Hit_the_portal,907,431,PASS
65 /escm/login/doAuth?id=loginform,1360,8176,FAIL
99 /escm/images/favicon.ico,13,10,PASS
sp_userlogin_46,1992,8796,FAIL
49 /escm/productOffer/index,1270,4279,FAIL
61 /escm/productOffer/getAllService,116,54,PASS
59 /escm/productOffer/offerList,121,41,PASS
62 /escm/messages,20,14,PASS
63 /escm/messages,8,9,FAIL
65 /escm/recentItem,20,9,PASS
66 /escm/recentItem,7,8,FAIL
60 /escm/productOffer/offerList,185,157,PASS
67 /escm/messages,8,8,PASS
72 /escm/recentItem,6,8,FAIL
List_offers,1841,4668,FAIL
133 /escm/productOffer/productModelSearch/productModelSearch,1583,2348,FAIL
178 /escm/images/favicon.ico,6,4,PASS
184 /escm/productOffer/showOfferDetails,780,783,FAIL
185 /escm/messages,8,8,PASS
186 /escm/recentItem,7,9,FAIL
Offer_search_by_id,3072,3842,FAIL
TOTAL,604,1470,FAIL
