Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderList,1,206,206,206,206,206,206,206,0.000%,4.85437,71.13,0.00
TOTAL,1,206,206,206,206,206,206,206,0.000%,4.85437,71.13,0.00
