Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderList,1,213,213,213,213,213,213,213,0.000%,4.69484,68.79,0.00
TOTAL,1,213,213,213,213,213,213,213,0.000%,4.69484,68.79,0.00
