sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,474,527,FAIL
43 /escm/images/favicon.ico,11,10,PASS
Hit_the_portal,805,842,FAIL
65 /escm/login/doAuth?id=loginform,1747,6939,FAIL
99 /escm/images/favicon.ico,4,5,FAIL
sp_userlogin_46,2348,7559,FAIL
324 /escm/customer/index,555,2759,FAIL
381 /escm/customer/setSearchBy,15,15,PASS
374 /escm/images/favicon.ico,6,4,PASS
382 /escm/customer/listByCriteria,309,339,FAIL
384 /escm/messages,9,9,PASS
385 /escm/customer/renderCustomerOrganizationDetails,703,603,PASS
405 /escm/messages,8,13,FAIL
406 /escm/messages,8,8,PASS
List_Organizations,2386,4503,FAIL
128 /escm/customer/listByCriteria,419,412,PASS
129 /escm/customer/renderCustomerOrganizationDetails,1382,1201,PASS
130 /escm/messages,11,8,PASS
131 /escm/messages,11,7,PASS
org_search_by_orgid,1826,1633,PASS
TOTAL,651,1369,FAIL
