Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
524 /escm/login/auth,5,180,69,591,95,205.40,0.00%,8.5,49.37,5976.0
Hit_the_portal_new,5,667,486,1133,623,237.05,0.00%,4.4,2550.58,591832.0
540 /success.txt,5,42034,42006,42127,42022,46.76,100.00%,.1,0.26,2206.0
541 /escm/login/doAuth?id=loginform,5,2057,1400,2662,2350,460.73,0.00%,1.9,17.60,9592.8
543 /escm/,5,1759,1178,2392,2220,465.34,0.00%,2.1,17.92,8776.6
545 /escm/dashboard/index,5,1292,1211,1394,1342,66.94,0.00%,3.6,30.19,8617.8
546 /escm/dashboard/myAccountInfo,5,1317,1250,1362,1347,39.92,0.00%,3.7,30.30,8451.8
SP_user_login_46_new,5,49204,48912,49678,49439,300.53,100.00%,.1,34.10,346981.0
777 /escm/order/index,5,1958,1770,2094,2022,107.74,0.00%,2.4,51.80,22215.2
779 /escm/order/list,5,1828,1533,1953,1946,155.73,0.00%,2.6,55.15,22060.2
783 /escm/images/sidebar-bg.jpg,5,6,5,10,7,1.72,0.00%,500.0,831.54,1703.0
785 /escm/order/showOrderDetail,5,2004,1723,2357,2154,247.72,0.00%,2.1,46.37,22383.8
796 /escm/messages,5,18,13,24,22,4.13,0.00%,208.3,93.79,461.0
797 /escm/recentItem,5,17,11,24,19,4.60,0.00%,208.3,69.38,341.0
List_orders_without_cache_4.6,5,6039,5535,6335,6328,335.11,0.00%,.8,174.81,226796.2
807 /escm/order/searchOrder,5,246,217,274,257,19.80,0.00%,18.2,76.06,4268.0
809 /escm/messages,5,15,13,21,17,2.93,0.00%,238.1,107.19,461.0
810 /escm/recentItem,5,14,11,16,15,1.79,0.00%,312.5,104.06,341.0
808 /escm/order/showOrderDetail,5,1610,1425,1863,1695,160.94,0.00%,2.7,58.66,22383.0
812 /escm/messages,5,15,12,25,15,4.80,0.00%,200.0,90.04,461.0
813 /escm/recentItem,5,12,11,14,13,1.02,0.00%,357.1,118.93,341.0
order_search_by_offer_name_without_cache_4.6,5,1940,1716,2204,2047,180.02,0.00%,2.3,104.37,47111.0
TOTAL,110,5192,5,49678,6328,12899.82,9.09%,1.7,99.65,61534.6
